starttime	seconds	ctime	dtime	ttime	wait
Wed Aug 09 19:39:27 2023	1691581167	6	85	90	84
Wed Aug 09 19:39:27 2023	1691581167	0	140	140	130
Wed Aug 09 19:39:27 2023	1691581167	6	1328	1334	1327
Wed Aug 09 19:39:27 2023	1691581167	4	1391	1394	1390
Wed Aug 09 19:39:27 2023	1691581167	3	1417	1420	1416
Wed Aug 09 19:39:27 2023	1691581167	5	1471	1476	1470
Wed Aug 09 19:39:27 2023	1691581167	6	1509	1515	1509
Wed Aug 09 19:39:27 2023	1691581167	4	1513	1517	1512
Wed Aug 09 19:39:27 2023	1691581167	6	1554	1559	1553
Wed Aug 09 19:39:27 2023	1691581167	3	1572	1574	1571
Wed Aug 09 19:39:27 2023	1691581167	6	1571	1577	1570
Wed Aug 09 19:39:27 2023	1691581167	5	1633	1638	1631
Wed Aug 09 19:39:27 2023	1691581167	3	1745	1747	1742
Wed Aug 09 19:39:27 2023	1691581167	7	1802	1808	1801
Wed Aug 09 19:39:27 2023	1691581167	3	1809	1812	1808
Wed Aug 09 19:39:27 2023	1691581167	4	1812	1816	1811
Wed Aug 09 19:39:27 2023	1691581167	4	1830	1835	1830
Wed Aug 09 19:39:27 2023	1691581167	6	1863	1869	1863
Wed Aug 09 19:39:27 2023	1691581167	7	1880	1887	1879
Wed Aug 09 19:39:27 2023	1691581167	4	1906	1910	1905
Wed Aug 09 19:39:27 2023	1691581167	2	1910	1912	1909
Wed Aug 09 19:39:27 2023	1691581167	3	1921	1924	1920
Wed Aug 09 19:39:27 2023	1691581167	7	1919	1926	1919
Wed Aug 09 19:39:27 2023	1691581167	4	1926	1930	1925
Wed Aug 09 19:39:27 2023	1691581167	5	1927	1932	1924
Wed Aug 09 19:39:27 2023	1691581167	5	1929	1934	1928
Wed Aug 09 19:39:27 2023	1691581167	7	1981	1988	1981
Wed Aug 09 19:39:27 2023	1691581167	5	1984	1989	1983
Wed Aug 09 19:39:27 2023	1691581167	3	2004	2006	2003
Wed Aug 09 19:39:27 2023	1691581167	4	2008	2012	2007
Wed Aug 09 19:39:27 2023	1691581167	4	2019	2024	2018
Wed Aug 09 19:39:27 2023	1691581167	4	2051	2055	2050
Wed Aug 09 19:39:27 2023	1691581167	4	2070	2074	2070
Wed Aug 09 19:39:27 2023	1691581167	4	2087	2091	2087
Wed Aug 09 19:39:27 2023	1691581167	7	2114	2121	2112
Wed Aug 09 19:39:27 2023	1691581167	6	2133	2139	2132
Wed Aug 09 19:39:27 2023	1691581167	5	2136	2141	2135
Wed Aug 09 19:39:27 2023	1691581167	5	2136	2141	2135
Wed Aug 09 19:39:27 2023	1691581167	7	2153	2160	2151
Wed Aug 09 19:39:27 2023	1691581167	4	2207	2211	2207
Wed Aug 09 19:39:35 2023	1691581175	0	2241	2241	2240
Wed Aug 09 19:39:27 2023	1691581167	4	2238	2242	2237
Wed Aug 09 19:39:27 2023	1691581167	7	2243	2250	2243
Wed Aug 09 19:39:34 2023	1691581174	0	2261	2261	2260
Wed Aug 09 19:39:27 2023	1691581167	5	2261	2266	2260
Wed Aug 09 19:39:27 2023	1691581167	5	2265	2270	2246
Wed Aug 09 19:39:27 2023	1691581167	6	2288	2295	2288
Wed Aug 09 19:39:29 2023	1691581169	0	2298	2298	2297
Wed Aug 09 19:39:27 2023	1691581167	5	2302	2308	2302
Wed Aug 09 19:39:27 2023	1691581167	5	2305	2310	2304
Wed Aug 09 19:39:27 2023	1691581167	5	2308	2313	2307
Wed Aug 09 19:39:27 2023	1691581167	7	2309	2316	2308
Wed Aug 09 19:39:34 2023	1691581174	0	2344	2344	2343
Wed Aug 09 19:39:27 2023	1691581167	4	2344	2348	2343
Wed Aug 09 19:39:35 2023	1691581175	0	2348	2348	2346
Wed Aug 09 19:39:35 2023	1691581175	0	2369	2370	2368
Wed Aug 09 19:39:34 2023	1691581174	0	2376	2377	2375
Wed Aug 09 19:39:27 2023	1691581167	3	2377	2380	2376
Wed Aug 09 19:39:27 2023	1691581167	4	2378	2382	2376
Wed Aug 09 19:39:27 2023	1691581167	6	2388	2394	2388
Wed Aug 09 19:39:27 2023	1691581167	6	2390	2395	2389
Wed Aug 09 19:39:34 2023	1691581174	0	2405	2405	2404
Wed Aug 09 19:39:29 2023	1691581169	0	2422	2422	2421
Wed Aug 09 19:39:27 2023	1691581167	4	2420	2424	2418
Wed Aug 09 19:39:29 2023	1691581169	0	2427	2427	2426
Wed Aug 09 19:39:27 2023	1691581167	4	2428	2432	2427
Wed Aug 09 19:39:27 2023	1691581167	7	2432	2439	2431
Wed Aug 09 19:39:27 2023	1691581167	6	2434	2439	2432
Wed Aug 09 19:39:27 2023	1691581167	3	2437	2440	2436
Wed Aug 09 19:39:27 2023	1691581167	3	2442	2445	2442
Wed Aug 09 19:39:29 2023	1691581169	0	2451	2451	2451
Wed Aug 09 19:39:27 2023	1691581167	6	2454	2460	2453
Wed Aug 09 19:39:34 2023	1691581174	0	2464	2464	2462
Wed Aug 09 19:39:27 2023	1691581167	5	2463	2468	2463
Wed Aug 09 19:39:27 2023	1691581167	4	2468	2472	2467
Wed Aug 09 19:39:27 2023	1691581167	4	2468	2472	2466
Wed Aug 09 19:39:29 2023	1691581169	0	2495	2495	2494
Wed Aug 09 19:39:29 2023	1691581169	0	2500	2501	2500
Wed Aug 09 19:39:27 2023	1691581167	3	2507	2509	2506
Wed Aug 09 19:39:29 2023	1691581169	0	2520	2521	2513
Wed Aug 09 19:39:34 2023	1691581174	0	2521	2521	2521
Wed Aug 09 19:39:27 2023	1691581167	5	2519	2524	2518
Wed Aug 09 19:39:29 2023	1691581169	1	2523	2524	2522
Wed Aug 09 19:39:27 2023	1691581167	5	2520	2525	2519
Wed Aug 09 19:39:27 2023	1691581167	7	2528	2535	2526
Wed Aug 09 19:39:27 2023	1691581167	6	2534	2540	2534
Wed Aug 09 19:39:29 2023	1691581169	0	2542	2542	2541
Wed Aug 09 19:39:29 2023	1691581169	0	2551	2551	2550
Wed Aug 09 19:39:29 2023	1691581169	0	2557	2557	2556
Wed Aug 09 19:39:29 2023	1691581169	0	2557	2558	2557
Wed Aug 09 19:39:29 2023	1691581169	0	2559	2560	2559
Wed Aug 09 19:39:34 2023	1691581174	0	2561	2561	2560
Wed Aug 09 19:39:27 2023	1691581167	4	2559	2562	2558
Wed Aug 09 19:39:29 2023	1691581169	0	2563	2564	2562
Wed Aug 09 19:39:29 2023	1691581169	0	2566	2566	2565
Wed Aug 09 19:39:29 2023	1691581169	0	2568	2568	2566
Wed Aug 09 19:39:29 2023	1691581169	0	2569	2569	2569
Wed Aug 09 19:39:29 2023	1691581169	0	2570	2570	2569
Wed Aug 09 19:39:29 2023	1691581169	0	2570	2570	2569
Wed Aug 09 19:39:29 2023	1691581169	0	2572	2573	2566
Wed Aug 09 19:39:29 2023	1691581169	0	2572	2573	2571
Wed Aug 09 19:39:29 2023	1691581169	0	2573	2573	2570
Wed Aug 09 19:39:29 2023	1691581169	0	2576	2576	2573
Wed Aug 09 19:39:27 2023	1691581167	6	2571	2576	2570
Wed Aug 09 19:39:27 2023	1691581167	7	2572	2579	2571
Wed Aug 09 19:39:27 2023	1691581167	5	2578	2582	2574
Wed Aug 09 19:39:29 2023	1691581169	0	2587	2587	2585
Wed Aug 09 19:39:34 2023	1691581174	1	2589	2590	2588
Wed Aug 09 19:39:29 2023	1691581169	0	2591	2591	2590
Wed Aug 09 19:39:29 2023	1691581169	0	2592	2592	2591
Wed Aug 09 19:39:29 2023	1691581169	0	2598	2599	2597
Wed Aug 09 19:39:29 2023	1691581169	0	2599	2599	2598
Wed Aug 09 19:39:29 2023	1691581169	0	2600	2600	2528
Wed Aug 09 19:39:34 2023	1691581174	0	2601	2601	2600
Wed Aug 09 19:39:29 2023	1691581169	0	2604	2604	2603
Wed Aug 09 19:39:29 2023	1691581169	0	2609	2609	2608
Wed Aug 09 19:39:27 2023	1691581167	7	2604	2611	2603
Wed Aug 09 19:39:29 2023	1691581169	0	2613	2613	2612
Wed Aug 09 19:39:34 2023	1691581174	0	2616	2616	2615
Wed Aug 09 19:39:27 2023	1691581167	3	2613	2617	2613
Wed Aug 09 19:39:34 2023	1691581174	0	2616	2617	2615
