starttime	seconds	ctime	dtime	ttime	wait
Wed Aug 09 19:27:40 2023	1691580460	0	94	94	85
Wed Aug 09 19:27:40 2023	1691580460	7	173	180	173
Wed Aug 09 19:27:40 2023	1691580460	2	501	503	500
Wed Aug 09 19:27:46 2023	1691580466	0	804	804	803
Wed Aug 09 19:27:40 2023	1691580460	4	825	829	824
Wed Aug 09 19:27:40 2023	1691580460	3	833	836	832
Wed Aug 09 19:27:40 2023	1691580460	6	869	875	869
Wed Aug 09 19:27:40 2023	1691580460	5	872	877	872
Wed Aug 09 19:27:40 2023	1691580460	3	875	878	874
Wed Aug 09 19:27:40 2023	1691580460	5	888	893	887
Wed Aug 09 19:27:40 2023	1691580460	5	905	909	904
Wed Aug 09 19:27:40 2023	1691580460	6	935	941	934
Wed Aug 09 19:27:46 2023	1691580466	0	944	944	943
Wed Aug 09 19:27:40 2023	1691580460	6	943	949	942
Wed Aug 09 19:27:40 2023	1691580460	6	946	952	945
Wed Aug 09 19:27:40 2023	1691580460	6	956	962	955
Wed Aug 09 19:27:40 2023	1691580460	4	959	963	958
Wed Aug 09 19:27:45 2023	1691580465	0	998	999	997
Wed Aug 09 19:27:40 2023	1691580460	6	999	1005	998
Wed Aug 09 19:27:45 2023	1691580465	0	1016	1017	1016
Wed Aug 09 19:27:45 2023	1691580465	0	1017	1017	1017
Wed Aug 09 19:27:45 2023	1691580465	0	1018	1019	1018
Wed Aug 09 19:27:45 2023	1691580465	0	1034	1035	1034
Wed Aug 09 19:27:45 2023	1691580465	0	1036	1036	1035
Wed Aug 09 19:27:40 2023	1691580460	6	1033	1040	1032
Wed Aug 09 19:27:40 2023	1691580460	6	1036	1042	1035
Wed Aug 09 19:27:40 2023	1691580460	5	1041	1046	1039
Wed Aug 09 19:27:45 2023	1691580465	0	1046	1047	1046
Wed Aug 09 19:27:40 2023	1691580460	3	1046	1049	1045
Wed Aug 09 19:27:45 2023	1691580465	0	1051	1051	1051
Wed Aug 09 19:27:45 2023	1691580465	0	1053	1053	1053
Wed Aug 09 19:27:40 2023	1691580460	4	1056	1060	1055
Wed Aug 09 19:27:45 2023	1691580465	0	1072	1072	1072
Wed Aug 09 19:27:45 2023	1691580465	0	1074	1074	1073
Wed Aug 09 19:27:40 2023	1691580460	6	1092	1098	1091
Wed Aug 09 19:27:45 2023	1691580465	0	1100	1100	1100
Wed Aug 09 19:27:45 2023	1691580465	0	1115	1116	1115
Wed Aug 09 19:27:45 2023	1691580465	0	1128	1128	1126
Wed Aug 09 19:27:45 2023	1691580465	0	1149	1149	1148
Wed Aug 09 19:27:45 2023	1691580465	0	1152	1152	1149
Wed Aug 09 19:27:40 2023	1691580460	5	1154	1159	1152
Wed Aug 09 19:27:40 2023	1691580460	6	1154	1160	1152
Wed Aug 09 19:27:40 2023	1691580460	2	1165	1167	1164
Wed Aug 09 19:27:40 2023	1691580460	6	1171	1177	1170
Wed Aug 09 19:27:45 2023	1691580465	0	1178	1178	1177
Wed Aug 09 19:27:45 2023	1691580465	0	1182	1182	1182
Wed Aug 09 19:27:45 2023	1691580465	0	1225	1225	1224
Wed Aug 09 19:27:45 2023	1691580465	0	1230	1230	1228
Wed Aug 09 19:27:45 2023	1691580465	0	1234	1235	1234
Wed Aug 09 19:27:45 2023	1691580465	0	1267	1267	1266
Wed Aug 09 19:27:40 2023	1691580460	3	1267	1270	1267
Wed Aug 09 19:27:45 2023	1691580465	0	1272	1273	1271
Wed Aug 09 19:27:40 2023	1691580460	7	1275	1281	1274
Wed Aug 09 19:27:45 2023	1691580465	0	1283	1284	1283
Wed Aug 09 19:27:45 2023	1691580465	0	1287	1288	1287
Wed Aug 09 19:27:45 2023	1691580465	0	1308	1308	1308
Wed Aug 09 19:27:40 2023	1691580460	5	1304	1309	1303
Wed Aug 09 19:27:45 2023	1691580465	0	1316	1317	1316
Wed Aug 09 19:27:45 2023	1691580465	0	1324	1325	1324
Wed Aug 09 19:27:40 2023	1691580460	6	1333	1340	1332
Wed Aug 09 19:27:45 2023	1691580465	0	1349	1349	1348
Wed Aug 09 19:27:45 2023	1691580465	0	1350	1351	1350
Wed Aug 09 19:27:40 2023	1691580460	4	1434	1439	1434
Wed Aug 09 19:27:40 2023	1691580460	6	1547	1553	1546
Wed Aug 09 19:27:40 2023	1691580460	4	1579	1583	1578
Wed Aug 09 19:27:40 2023	1691580460	2	1650	1652	1650
Wed Aug 09 19:27:40 2023	1691580460	4	1706	1710	1704
Wed Aug 09 19:27:40 2023	1691580460	2	1715	1717	1714
Wed Aug 09 19:27:40 2023	1691580460	4	1719	1723	1719
Wed Aug 09 19:27:40 2023	1691580460	2	1737	1739	1736
Wed Aug 09 19:28:53 2023	1691580533	0	1741	1741	1740
Wed Aug 09 19:28:53 2023	1691580533	0	1745	1746	1745
Wed Aug 09 19:28:53 2023	1691580533	0	1747	1747	1745
Wed Aug 09 19:28:53 2023	1691580533	0	1747	1748	1747
Wed Aug 09 19:28:53 2023	1691580533	0	1753	1753	1752
Wed Aug 09 19:27:40 2023	1691580460	4	1789	1793	1788
Wed Aug 09 19:27:40 2023	1691580460	2	1823	1824	1822
Wed Aug 09 19:27:40 2023	1691580460	4	1827	1832	1827
Wed Aug 09 19:27:40 2023	1691580460	2	1837	1839	1836
